Strain,Phage,day,temperature,ph,inoculum,milk_batch,(milk_batch-21),milk_age ,milk_apc,cheese_make,cheese_plate,rep,count,experiment
5625,Y,7,6,6.5,1.55E+03,7/10/17,6/19/17,9,536,6/28/17,d,2,100050000,1.2
10403S,N,14,6,6.5,6.74E+02,7/10/17,6/19/17,9,536,6/28/17,e,2,197500000,1.2
5621,N,14,6,6.5,1.66E+03,7/10/17,6/19/17,9,536,6/28/17,e,2,260500000,1.2
5623,N,14,6,6.5,8.02E+04,7/10/17,6/19/17,9,536,6/28/17,e,2,321000000,1.2
5624,N,14,6,6.5,4.09E+04,7/10/17,6/19/17,9,536,6/28/17,e,2,316000000,1.2
5625,N,14,6,6.5,1.50E+03,7/10/17,6/19/17,9,536,6/28/17,e,2,288000000,1.2
10403S,Y,14,6,6.5,5.95E+02,7/10/17,6/19/17,9,536,6/28/17,f,2,1.67E+07,1.2
5621,Y,14,6,6.5,1.66E+03,7/10/17,6/19/17,9,536,6/28/17,f,2,2.73E+07,1.2
5623,Y,14,6,6.5,7.73E+04,7/10/17,6/19/17,9,536,6/28/17,f,2,6.76E+07,1.2
5624,Y,14,6,6.5,4.09E+04,7/10/17,6/19/17,9,536,6/28/17,f,2,5.95E+07,1.2
5625,Y,14,6,6.5,1.50E+03,7/10/17,6/19/17,9,536,6/28/17,f,2,3.45E+08,1.2
10403S,N,1,6,6.5,7.09E+04,7/31/17,7/10/17,7,10.2,7/17/17,a,3,408500,1.3
5621,N,1,6,6.5,1.20E+05,7/31/17,7/10/17,7,10.2,7/17/17,a,3,279500,1.3
5623,N,1,6,6.5,1.79E+05,7/31/17,7/10/17,7,10.2,7/17/17,a,3,683500,1.3
5624,N,1,6,6.5,1.87E+05,7/31/17,7/10/17,7,10.2,7/17/17,a,3,708000,1.3
5625,N,1,6,6.5,1.77E+05,7/31/17,7/10/17,7,10.2,7/17/17,a,3,1050000,1.3
10403S,Y,1,6,6.5,5.75E+04,7/31/17,7/10/17,7,10.2,7/17/17,b,3,122000,1.3
5621,Y,1,6,6.5,1.32E+05,7/31/17,7/10/17,7,10.2,7/17/17,b,3,21900,1.3
5623,Y,1,6,6.5,1.56E+05,7/31/17,7/10/17,7,10.2,7/17/17,b,3,233500,1.3
5624,Y,1,6,6.5,1.89E+05,7/31/17,7/10/17,7,10.2,7/17/17,b,3,170000,1.3
5625,Y,1,6,6.5,1.41E+05,7/31/17,7/10/17,7,10.2,7/17/17,b,3,209000,1.3
10403S,N,7,6,6.5,6.08E+04,7/31/17,7/10/17,7,10.2,7/17/17,c,3,19460000,1.3
5621,N,7,6,6.5,1.38E+05,7/31/17,7/10/17,7,10.2,7/17/17,c,3,60900000,1.3
5623,N,7,6,6.5,1.50E+05,7/31/17,7/10/17,7,10.2,7/17/17,c,3,169650000,1.3
5624,N,7,6,6.5,2.18E+05,7/31/17,7/10/17,7,10.2,7/17/17,c,3,44050000,1.3
5625,N,7,6,6.5,1.41E+05,7/31/17,7/10/17,7,10.2,7/17/17,c,3,85900000,1.3
10403S,Y,7,6,6.5,5.85E+04,7/31/17,7/10/17,7,10.2,7/17/17,d,3,1024500,1.3
5621,Y,7,6,6.5,1.70E+05,7/31/17,7/10/17,7,10.2,7/17/17,d,3,1335000,1.3
5623,Y,7,6,6.5,1.79E+05,7/31/17,7/10/17,7,10.2,7/17/17,d,3,7560000,1.3
5624,Y,7,6,6.5,2.09E+05,7/31/17,7/10/17,7,10.2,7/17/17,d,3,942500,1.3
5625,Y,7,6,6.5,1.59E+05,7/31/17,7/10/17,7,10.2,7/17/17,d,3,52450000,1.3
10403S,N,14,6,6.5,6.32E+04,7/31/17,7/10/17,7,10.2,7/17/17,e,3,60850000,1.3
5621,N,14,6,6.5,1.61E+05,7/31/17,7/10/17,7,10.2,7/17/17,e,3,4335000,1.3
5623,N,14,6,6.5,1.68E+05,7/31/17,7/10/17,7,10.2,7/17/17,e,3,127500000,1.3
5624,N,14,6,6.5,1.95E+05,7/31/17,7/10/17,7,10.2,7/17/17,e,3,38000000,1.3
5625,N,14,6,6.5,1.66E+05,7/31/17,7/10/17,7,10.2,7/17/17,e,3,155500000,1.3
10403S,Y,14,6,6.5,5.85E+04,7/31/17,7/10/17,7,10.2,7/17/17,f,3,1.32E+07,1.3
5621,Y,14,6,6.5,1.38E+05,7/31/17,7/10/17,7,10.2,7/17/17,f,3,1.80E+07,1.3
5623,Y,14,6,6.5,1.45E+05,7/31/17,7/10/17,7,10.2,7/17/17,f,3,1.33E+06,1.3
5624,Y,14,6,6.5,1.89E+05,7/31/17,7/10/17,7,10.2,7/17/17,f,3,2.28E+08,1.3
5625,Y,14,6,6.5,1.56E+05,7/31/17,7/10/17,7,10.2,7/17/17,f,3,2.59E+08,1.3
10403S,N,1,6,6,1.66E+05,7/3/17,6/12/17,8,10.2,6/20/17,a,1,255500,2.1
5621,N,1,6,6,0.00E+00,7/3/17,6/12/17,8,10.2,6/20/17,a,1,132900,2.1
5623,N,1,6,6,0.00E+00,7/3/17,6/12/17,8,10.2,6/20/17,a,1,194000,2.1
5624,N,1,6,6,1.27E+05,7/3/17,6/12/17,8,10.2,6/20/17,a,1,194000,2.1
5625,N,1,6,6,0.00E+00,7/3/17,6/12/17,8,10.2,6/20/17,a,1,347500,2.1
10403S,Y,1,6,6,1.58E+05,7/3/17,6/12/17,8,10.2,6/20/17,b,1,58000,2.1
5621,Y,1,6,6,0.00E+00,7/3/17,6/12/17,8,10.2,6/20/17,b,1,40800,2.1
5623,Y,1,6,6,0.00E+00,7/3/17,6/12/17,8,10.2,6/20/17,b,1,152000,2.1
5624,Y,1,6,6,1.33E+05,7/3/17,6/12/17,8,10.2,6/20/17,b,1,96450,2.1
5625,Y,1,6,6,0.00E+00,7/3/17,6/12/17,8,10.2,6/20/17,b,1,130000,2.1
10403S,N,7,6,6,1.70E+05,7/3/17,6/12/17,8,10.2,6/20/17,c,1,23500000,2.1
5621,N,7,6,6,0.00E+00,7/3/17,6/12/17,8,10.2,6/20/17,c,1,11000000,2.1
5623,N,7,6,6,0.00E+00,7/3/17,6/12/17,8,10.2,6/20/17,c,1,45650000,2.1
