Strain,Phage,day,temperature,ph,inoculum,milk_batch,(milk_batch-21),milk_age ,milk_apc,cheese_make,cheese_plate,rep,count,experiment
5625,Y,1,14,6.5,1.33E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,b,1,1075000,4.1
10403S,N,7,14,6.5,1.90E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,c,1,47000000,4.1
5621,N,7,14,6.5,3.83E+04,7/10/17,6/19/17,7,2.04E+01,6/26/17,c,1,173000000,4.1
5623,N,7,14,6.5,1.18E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,c,1,281000000,4.1
5624,N,7,14,6.5,2.09E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,c,1,54450000,4.1
5625,N,7,14,6.5,1.40E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,c,1,47750000,4.1
10403S,Y,7,14,6.5,2.07E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,d,1,26500000,4.1
5621,Y,7,14,6.5,4.33E+04,7/10/17,6/19/17,7,2.04E+01,6/26/17,d,1,34000000,4.1
5623,Y,7,14,6.5,1.22E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,d,1,152000000,4.1
5624,Y,7,14,6.5,2.12E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,d,1,40400000,4.1
5625,Y,7,14,6.5,1.66E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,d,1,101350000,4.1
10403S,N,14,14,6.5,2.26E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,e,1,221500000,4.1
5621,N,14,14,6.5,4.28E+04,7/10/17,6/19/17,7,2.04E+01,6/26/17,e,1,226000000,4.1
5623,N,14,14,6.5,1.15E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,e,1,78850000,4.1
5624,N,14,14,6.5,2.32E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,e,1,59300000,4.1
5625,N,14,14,6.5,1.49E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,e,1,274000000,4.1
10403S,Y,14,14,6.5,2.49E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,f,1,1430000,4.1
5621,Y,14,14,6.5,5.53E+04,7/10/17,6/19/17,7,2.04E+01,6/26/17,f,1,25850000,4.1
5623,Y,14,14,6.5,1.25E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,f,1,55500000,4.1
5624,Y,14,14,6.5,2.44E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,f,1,52850000,4.1
5625,Y,14,14,6.5,1.76E+05,7/10/17,6/19/17,7,2.04E+01,6/26/17,f,1,81065000,4.1
10403S,N,1,14,6.5,2.08E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,a,2,801500,4.2
5621,N,1,14,6.5,1.92E+03,7/25/17,7/4/17,6,1.02E+01,7/10/17,a,2,390000,4.2
5623,N,1,14,6.5,1.75E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,a,2,2605000,4.2
5624,N,1,14,6.5,1.81E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,a,2,2075000,4.2
5625,N,1,14,6.5,1.90E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,a,2,3290000,4.2
10403S,Y,1,14,6.5,2.01E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,b,2,26700,4.2
5621,Y,1,14,6.5,1.92E+03,7/25/17,7/4/17,6,1.02E+01,7/10/17,b,2,19850,4.2
5623,Y,1,14,6.5,1.80E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,b,2,424000,4.2
5624,Y,1,14,6.5,1.92E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,b,2,28700,4.2
5625,Y,1,14,6.5,1.80E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,b,2,275500,4.2
10403S,N,7,14,6.5,4.32E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,c,2,376000000,4.2
5621,N,7,14,6.5,2.36E+03,7/25/17,7/4/17,6,1.02E+01,7/10/17,c,2,198150000,4.2
5623,N,7,14,6.5,1.86E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,c,2,108180000,4.2
5624,N,7,14,6.5,2.93E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,c,2,292500000,4.2
5625,N,7,14,6.5,1.84E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,c,2,242500000,4.2
10403S,Y,7,14,6.5,2.92E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,d,2,29650000,4.2
5621,Y,7,14,6.5,2.16E+03,7/25/17,7/4/17,6,1.02E+01,7/10/17,d,2,18800000,4.2
5623,Y,7,14,6.5,1.91E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,d,2,199000000,4.2
5624,Y,7,14,6.5,2.89E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,d,2,124000000,4.2
5625,Y,7,14,6.5,1.84E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,d,2,219000000,4.2
10403S,N,14,14,6.5,4.07E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,e,2,62250000,4.2
5621,N,14,14,6.5,3.91E+03,7/25/17,7/4/17,6,1.02E+01,7/10/17,e,2,165500000,4.2
5623,N,14,14,6.5,1.98E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,e,2,204450000,4.2
5624,N,14,14,6.5,2.29E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,e,2,191950000,4.2
5625,N,14,14,6.5,1.96E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,e,2,201600000,4.2
10403S,Y,14,14,6.5,4.72E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,f,2,10100000,4.2
5621,Y,14,14,6.5,4.00E+03,7/25/17,7/4/17,6,1.02E+01,7/10/17,f,2,1635000,4.2
5623,Y,14,14,6.5,2.05E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,f,2,21300000,4.2
5624,Y,14,14,6.5,2.56E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,f,2,4970000,4.2
5625,Y,14,14,6.5,1.75E+05,7/25/17,7/4/17,6,1.02E+01,7/10/17,f,2,56600000,4.2
10403S,N,1,14,6.5,2.78E+05,8/6/17,7/16/17,8,0,7/24/17,a,3,2910000,4.3
5621,N,1,14,6.5,4.73E+04,8/6/17,7/16/17,8,0,7/24/17,a,3,2665000,4.3
5623,N,1,14,6.5,1.74E+05,8/6/17,7/16/17,8,0,7/24/17,a,3,7385000,4.3
5624,N,1,14,6.5,2.22E+05,8/6/17,7/16/17,8,0,7/24/17,a,3,4975000,4.3
5625,N,1,14,6.5,1.78E+05,8/6/17,7/16/17,8,0,7/24/17,a,3,10500000,4.3
10403S,Y,1,14,6.5,2.54E+05,8/6/17,7/16/17,8,0,7/24/17,b,3,25050,4.3
5621,Y,1,14,6.5,4.35E+04,8/6/17,7/16/17,8,0,7/24/17,b,3,28600,4.3
5623,Y,1,14,6.5,1.74E+05,8/6/17,7/16/17,8,0,7/24/17,b,3,314500,4.3
5624,Y,1,14,6.5,2.16E+05,8/6/17,7/16/17,8,0,7/24/17,b,3,22950,4.3
5625,Y,1,14,6.5,1.90E+05,8/6/17,7/16/17,8,0,7/24/17,b,3,375000,4.3
10403S,N,7,14,6.5,2.81E+05,8/6/17,7/16/17,8,0,7/24/17,c,3,216500000,4.3
5621,N,7,14,6.5,5.34E+04,8/6/17,7/16/17,8,0,7/24/17,c,3,62900000,4.3
5623,N,7,14,6.5,1.92E+05,8/6/17,7/16/17,8,0,7/24/17,c,3,201500000,4.3
5624,N,7,14,6.5,2.16E+05,8/6/17,7/16/17,8,0,7/24/17,c,3,37600000,4.3
5625,N,7,14,6.5,1.92E+05,8/6/17,7/16/17,8,0,7/24/17,c,3,56300000,4.3
10403S,Y,7,14,6.5,2.56E+05,8/6/17,7/16/17,8,0,7/24/17,d,3,14650000,4.3
5621,Y,7,14,6.5,4.96E+04,8/6/17,7/16/17,8,0,7/24/17,d,3,44400000,4.3
5623,Y,7,14,6.5,1.79E+05,8/6/17,7/16/17,8,0,7/24/17,d,3,130000000,4.3
5624,Y,7,14,6.5,2.16E+05,8/6/17,7/16/17,8,0,7/24/17,d,3,14800000,4.3
5625,Y,7,14,6.5,2.02E+05,8/6/17,7/16/17,8,0,7/24/17,d,3,307000000,4.3
10403S,N,14,14,6.5,3.14E+05,8/6/17,7/16/17,8,0,7/24/17,e,3,18600000,4.3
5621,N,14,14,6.5,4.55E+04,8/6/17,7/16/17,8,0,7/24/17,e,3,266500000,4.3
5623,N,14,14,6.5,1.65E+05,8/6/17,7/16/17,8,0,7/24/17,e,3,241500000,4.3
5624,N,14,14,6.5,2.13E+05,8/6/17,7/16/17,8,0,7/24/17,e,3,301500000,4.3
5625,N,14,14,6.5,1.75E+05,8/6/17,7/16/17,8,0,7/24/17,e,3,169500000,4.3
10403S,Y,14,14,6.5,2.72E+05,8/6/17,7/16/17,8,0,7/24/17,f,3,7.26E+07,4.3
5621,Y,14,14,6.5,5.12E+04,8/6/17,7/16/17,8,0,7/24/17,f,3,1.81E+07,4.3
5623,Y,14,14,6.5,1.75E+05,8/6/17,7/16/17,8,0,7/24/17,f,3,3.96E+07,4.3
5624,Y,14,14,6.5,2.11E+05,8/6/17,7/16/17,8,0,7/24/17,f,3,3.81E+07,4.3
5625,Y,14,14,6.5,1.72E+05,8/6/17,7/16/17,8,0,7/24/17,f,3,2.37E+08,4.3
10403S,N,1,22,6.5,1.03E+05,7/10/17,6/19/17,8,0,6/27/17,a,1,6720000,5.1
5621,N,1,22,6.5,1.15E+04,7/10/17,6/19/17,8,0,6/27/17,a,1,3595000,5.1
5623,N,1,22,6.5,1.57E+05,7/10/17,6/19/17,8,0,6/27/17,a,1,12000000,5.1
5624,N,1,22,6.5,1.30E+05,7/10/17,6/19/17,8,0,6/27/17,a,1,46750000,5.1
5625,N,1,22,6.5,1.04E+05,7/10/17,6/19/17,8,0,6/27/17,a,1,56650000,5.1
10403S,Y,1,22,6.5,1.01E+05,7/10/17,6/19/17,8,0,6/27/17,b,1,30950,5.1
5621,Y,1,22,6.5,9.36E+03,7/10/17,6/19/17,8,0,6/27/17,b,1,9095,5.1
5623,Y,1,22,6.5,1.57E+05,7/10/17,6/19/17,8,0,6/27/17,b,1,5595000,5.1
5624,Y,1,22,6.5,1.18E+05,7/10/17,6/19/17,8,0,6/27/17,b,1,47600,5.1
5625,Y,1,22,6.5,1.09E+05,7/10/17,6/19/17,8,0,6/27/17,b,1,9530000,5.1
10403S,N,7,22,6.5,1.22E+05,7/10/17,6/19/17,8,0,6/27/17,c,1,41900000,5.1
5621,N,7,22,6.5,1.11E+04,7/10/17,6/19/17,8,0,6/27/17,c,1,8075000,5.1
5623,N,7,22,6.5,1.74E+05,7/10/17,6/19/17,8,0,6/27/17,c,1,118500000,5.1
5624,N,7,22,6.5,1.41E+05,7/10/17,6/19/17,8,0,6/27/17,c,1,11450000,5.1
5625,N,7,22,6.5,1.25E+05,7/10/17,6/19/17,8,0,6/27/17,c,1,64250000,5.1
10403S,Y,7,22,6.5,1.22E+05,7/10/17,6/19/17,8,0,6/27/17,d,1,11700000,5.1
5621,Y,7,22,6.5,1.20E+04,7/10/17,6/19/17,8,0,6/27/17,d,1,3475000,5.1
5623,Y,7,22,6.5,1.78E+05,7/10/17,6/19/17,8,0,6/27/17,d,1,11350000,5.1
5624,Y,7,22,6.5,1.57E+05,7/10/17,6/19/17,8,0,6/27/17,d,1,21050000,5.1
5625,Y,7,22,6.5,1.18E+05,7/10/17,6/19/17,8,0,6/27/17,d,1,85300000,5.1
10403S,N,14,22,6.5,,7/10/17,6/19/17,8,0,6/27/17,e,1,,5.1
5621,N,14,22,6.5,,7/10/17,6/19/17,8,0,6/27/17,e,1,,5.1
5623,N,14,22,6.5,,7/10/17,6/19/17,8,0,6/27/17,e,1,,5.1
5624,N,14,22,6.5,,7/10/17,6/19/17,8,0,6/27/17,e,1,,5.1
5625,N,14,22,6.5,,7/10/17,6/19/17,8,0,6/27/17,e,1,,5.1
10403S,Y,14,22,6.5,,7/10/17,6/19/17,8,0,6/27/17,f,1,,5.1
5621,Y,14,22,6.5,,7/10/17,6/19/17,8,0,6/27/17,f,1,,5.1
5623,Y,14,22,6.5,,7/10/17,6/19/17,8,0,6/27/17,f,1,,5.1
5624,Y,14,22,6.5,,7/10/17,6/19/17,8,0,6/27/17,f,1,,5.1
5625,Y,14,22,6.5,,7/10/17,6/19/17,8,0,6/27/17,f,1,,5.1
10403S,N,1,22,6.5,1.70E+05,7/25/17,7/4/17,7,0,7/11/17,a,2,36400000,5.2
5621,N,1,22,6.5,2.24E+05,7/25/17,7/4/17,7,0,7/11/17,a,2,51000000,5.2
5623,N,1,22,6.5,1.78E+05,7/25/17,7/4/17,7,0,7/11/17,a,2,78800000,5.2
5624,N,1,22,6.5,2.34E+05,7/25/17,7/4/17,7,0,7/11/17,a,2,196500000,5.2
5625,N,1,22,6.5,2.14E+05,7/25/17,7/4/17,7,0,7/11/17,a,2,103500000,5.2
10403S,Y,1,22,6.5,1.70E+05,7/25/17,7/4/17,7,0,7/11/17,b,2,920000,5.2
5621,Y,1,22,6.5,1.82E+05,7/25/17,7/4/17,7,0,7/11/17,b,2,18600,5.2
5623,Y,1,22,6.5,1.66E+05,7/25/17,7/4/17,7,0,7/11/17,b,2,15000,5.2
5624,Y,1,22,6.5,2.05E+05,7/25/17,7/4/17,7,0,7/11/17,b,2,28400,5.2
5625,Y,1,22,6.5,2.03E+05,7/25/17,7/4/17,7,0,7/11/17,b,2,9140000,5.2
10403S,N,7,22,6.5,2.18E+05,7/25/17,7/4/17,7,0,7/11/17,c,2,128000000,5.2
5621,N,7,22,6.5,2.32E+05,7/25/17,7/4/17,7,0,7/11/17,c,2,11750000,5.2
5623,N,7,22,6.5,2.01E+05,7/25/17,7/4/17,7,0,7/11/17,c,2,150500000,5.2
5624,N,7,22,6.5,2.59E+05,7/25/17,7/4/17,7,0,7/11/17,c,2,403500000,5.2
5625,N,7,22,6.5,2.21E+05,7/25/17,7/4/17,7,0,7/11/17,c,2,165500000,5.2
10403S,Y,7,22,6.5,1.73E+05,7/25/17,7/4/17,7,0,7/11/17,d,2,511000,5.2
5621,Y,7,22,6.5,2.52E+05,7/25/17,7/4/17,7,0,7/11/17,d,2,2365000,5.2
5623,Y,7,22,6.5,1.99E+05,7/25/17,7/4/17,7,0,7/11/17,d,2,15400000,5.2
5624,Y,7,22,6.5,2.59E+05,7/25/17,7/4/17,7,0,7/11/17,d,2,3455000,5.2
5625,Y,7,22,6.5,2.43E+05,7/25/17,7/4/17,7,0,7/11/17,d,2,6130000,5.2
10403S,N,14,22,6.5,178500,7/25/17,7/4/17,7,0,7/11/17,e,2,7660000,5.2
5621,N,14,22,6.5,234302.3256,7/25/17,7/4/17,7,0,7/11/17,e,2,903000000,5.2
5623,N,14,22,6.5,219230.7692,7/25/17,7/4/17,7,0,7/11/17,e,2,510000000,5.2
5624,N,14,22,6.5,304054.0541,7/25/17,7/4/17,7,0,7/11/17,e,2,44450000,5.2
5625,N,14,22,6.5,248734.1772,7/25/17,7/4/17,7,0,7/11/17,e,2,145600000,5.2
10403S,Y,14,22,6.5,2.22E+01,7/25/17,7/4/17,7,0,7/11/17,f,2,2.29E+05,5.2
5621,Y,14,22,6.5,2.71E+01,7/25/17,7/4/17,7,0,7/11/17,f,2,2.17E+05,5.2
5623,Y,14,22,6.5,2.92E+01,7/25/17,7/4/17,7,0,7/11/17,f,2,2.51E+05,5.2
5624,Y,14,22,6.5,3.08E+01,7/25/17,7/4/17,7,0,7/11/17,f,2,2.68E+05,5.2
5625,Y,14,22,6.5,2.76E+01,7/25/17,7/4/17,7,0,7/11/17,f,2,2.23E+05,5.2
10403S,N,1,22,6.5,1.90E+02,8/6/17,7/16/17,9,0,7/25/17,a,3,17350000,5.3
5621,N,1,22,6.5,2.93E+03,8/6/17,7/16/17,9,0,7/25/17,a,3,46450000,5.3
5623,N,1,22,6.5,4.72E+01,8/6/17,7/16/17,9,0,7/25/17,a,3,50300000,5.3
5624,N,1,22,6.5,3.81E+04,8/6/17,7/16/17,9,0,7/25/17,a,3,51550000,5.3
5625,N,1,22,6.5,1.56E+05,8/6/17,7/16/17,9,0,7/25/17,a,3,46350000,5.3
10403S,Y,1,22,6.5,1.83E+02,8/6/17,7/16/17,9,0,7/25/17,b,3,46200,5.3
5621,Y,1,22,6.5,2.54E+03,8/6/17,7/16/17,9,0,7/25/17,b,3,53150,5.3
5623,Y,1,22,6.5,4.46E+01,8/6/17,7/16/17,9,0,7/25/17,b,3,2290000,5.3
5624,Y,1,22,6.5,3.38E+04,8/6/17,7/16/17,9,0,7/25/17,b,3,122000,5.3
5625,Y,1,22,6.5,1.23E+05,8/6/17,7/16/17,9,0,7/25/17,b,3,15750000,5.3
10403S,N,7,22,6.5,2.27E+02,8/6/17,7/16/17,9,0,7/25/17,c,3,175000000,5.3
5621,N,7,22,6.5,3.19E+03,8/6/17,7/16/17,9,0,7/25/17,c,3,110550000,5.3
5623,N,7,22,6.5,5.21E+01,8/6/17,7/16/17,9,0,7/25/17,c,3,227000000,5.3
5624,N,7,22,6.5,4.80E+04,8/6/17,7/16/17,9,0,7/25/17,c,3,292500000,5.3
5625,N,7,22,6.5,1.58E+05,8/6/17,7/16/17,9,0,7/25/17,c,3,364000000,5.3
10403S,Y,7,22,6.5,2.63E+02,8/6/17,7/16/17,9,0,7/25/17,d,3,13100000,5.3
5621,Y,7,22,6.5,3.45E+03,8/6/17,7/16/17,9,0,7/25/17,d,3,4090000,5.3
5623,Y,7,22,6.5,5.10E+01,8/6/17,7/16/17,9,0,7/25/17,d,3,19415000,5.3
5624,Y,7,22,6.5,4.18E+04,8/6/17,7/16/17,9,0,7/25/17,d,3,7565000,5.3
5625,Y,7,22,6.5,1.39E+05,8/6/17,7/16/17,9,0,7/25/17,d,3,294500000,5.3
10403S,N,14,22,6.5,246.9135802,8/6/17,7/16/17,9,0,7/25/17,e,3,104050000,5.3
5621,N,14,22,6.5,3333.333333,8/6/17,7/16/17,9,0,7/25/17,e,3,65900000,5.3
5623,N,14,22,6.5,60.24096386,8/6/17,7/16/17,9,0,7/25/17,e,3,714500000,5.3
5624,N,14,22,6.5,45232.55814,8/6/17,7/16/17,9,0,7/25/17,e,3,7970000,5.3
5625,N,14,22,6.5,159659.0909,8/6/17,7/16/17,9,0,7/25/17,e,3,386500000,5.3
10403S,Y,14,22,6.5,2.17E+02,8/6/17,7/16/17,9,0,7/25/17,f,3,1.84E+06,5.3
5621,Y,14,22,6.5,3.63E+03,8/6/17,7/16/17,9,0,7/25/17,f,3,2.05E+07,5.3
5623,Y,14,22,6.5,6.02E+01,8/6/17,7/16/17,9,0,7/25/17,f,3,1.02E+09,5.3
5624,Y,14,22,6.5,5.26E+04,8/6/17,7/16/17,9,0,7/25/17,f,3,1.26E+08,5.3
5625,Y,14,22,6.5,1.58E+05,8/6/17,7/16/17,9,0,7/25/17,f,3,1.45E+06,5.3
10403S,N,1,6,5.5,1.96E+05,8/6/17,7/16/17,11,20000,7/27/17,a,4,218500,3.4
5621,N,1,6,5.5,8.97E+03,8/6/17,7/16/17,11,20000,7/27/17,a,4,159000,3.4
5623,N,1,6,5.5,1.01E+03,8/6/17,7/16/17,11,20000,7/27/17,a,4,253000,3.4
5624,N,1,6,5.5,1.04E+04,8/6/17,7/16/17,11,20000,7/27/17,a,4,198500,3.4
5625,N,1,6,5.5,1.78E+04,8/6/17,7/16/17,11,20000,7/27/17,a,4,280000,3.4
10403S,Y,1,6,5.5,2.03E+05,8/6/17,7/16/17,11,20000,7/27/17,b,4,111000,3.4
5621,Y,1,6,5.5,8.41E+03,8/6/17,7/16/17,11,20000,7/27/17,b,4,60900,3.4
5623,Y,1,6,5.5,9.21E+02,8/6/17,7/16/17,11,20000,7/27/17,b,4,158500,3.4
5624,Y,1,6,5.5,1.06E+04,8/6/17,7/16/17,11,20000,7/27/17,b,4,148500,3.4
5625,Y,1,6,5.5,1.84E+04,8/6/17,7/16/17,11,20000,7/27/17,b,4,159000,3.4
10403S,N,7,6,5.5,2.16E+05,8/6/17,7/16/17,11,20000,7/27/17,c,4,309000,3.4
5621,N,7,6,5.5,8.24E+03,8/6/17,7/16/17,11,20000,7/27/17,c,4,30200,3.4
5623,N,7,6,5.5,1.04E+03,8/6/17,7/16/17,11,20000,7/27/17,c,4,290000,3.4
5624,N,7,6,5.5,1.07E+04,8/6/17,7/16/17,11,20000,7/27/17,c,4,381000,3.4
5625,N,7,6,5.5,1.90E+04,8/6/17,7/16/17,11,20000,7/27/17,c,4,418000,3.4
10403S,Y,7,6,5.5,2.44E+05,8/6/17,7/16/17,11,20000,7/27/17,d,4,119700,3.4
5621,Y,7,6,5.5,8.32E+03,8/6/17,7/16/17,11,20000,7/27/17,d,4,234000,3.4
5623,Y,7,6,5.5,9.21E+02,8/6/17,7/16/17,11,20000,7/27/17,d,4,177000,3.4
5624,Y,7,6,5.5,1.06E+04,8/6/17,7/16/17,11,20000,7/27/17,d,4,286000,3.4
5625,Y,7,6,5.5,1.86E+04,8/6/17,7/16/17,11,20000,7/27/17,d,4,207500,3.4
10403S,N,14,6,5.5,2.23E+05,8/6/17,7/16/17,11,20000,7/27/17,e,4,,3.4
5621,N,14,6,5.5,9.39E+03,8/6/17,7/16/17,11,20000,7/27/17,e,4,,3.4
5623,N,14,6,5.5,9.64E+02,8/6/17,7/16/17,11,20000,7/27/17,e,4,,3.4
5624,N,14,6,5.5,1.06E+04,8/6/17,7/16/17,11,20000,7/27/17,e,4,,3.4
5625,N,14,6,5.5,1.99E+04,8/6/17,7/16/17,11,20000,7/27/17,e,4,,3.4
10403S,Y,14,6,5.5,2.36E+05,8/6/17,7/16/17,11,20000,7/27/17,f,4,,3.4
5621,Y,14,6,5.5,8.16E+03,8/6/17,7/16/17,11,20000,7/27/17,f,4,,3.4
5623,Y,14,6,5.5,1.01E+03,8/6/17,7/16/17,11,20000,7/27/17,f,4,,3.4
5624,Y,14,6,5.5,1.01E+04,8/6/17,7/16/17,11,20000,7/27/17,f,4,,3.4
5625,Y,14,6,5.5,1.77E+04,8/6/17,7/16/17,11,20000,7/27/17,f,4,,3.4
